column number,Country,TotalCases,TotalDeaths,TotalRecovered,Tot Cases/1M pop,Deaths/1M pop,Population,total_vaccinations
1,Afghanistan,234174,7996.0,211080.0,5746.0,196.0,40754388.0,22964750.0
2,Albania,334863,3605.0,330233.0,116825.0,1258.0,2866374.0,3088966.0
3,Algeria,272010,6881.0,183061.0,5998.0,152.0,45350148.0,15267442.0
4,Andorra,48015,165.0,0,619844.0,2130.0,77463.0,157072.0
5,Angola,107327,1937.0,103419.0,3064.0,55.0,35027343.0,27819132.0
6,Anguilla,3904,12.0,0,256336.0,788.0,15230.0,24864.0
7,Antigua and Barbuda,9106,146.0,8954.0,91509.0,1467.0,99509.0,136512.0
8,Argentina,10128845,130841.0,9997258.0,220143.0,2844.0,46010234.0,116978521.0
9,Armenia,451831,8777.0,435162.0,152031.0,2953.0,2971966.0,2256919.0
10,Aruba,44224,292.0,42438.0,410969.0,2714.0,107609.0,174914.0
11,Australia,11853144,24414.0,11820014.0,454687.0,937.0,26068792.0,69686752.0
12,Austria,6081287,22542.0,6054934.0,670727.0,2486.0,9066710.0,20468731.0
13,Azerbaijan,835234,10400.0,824089.0,81089.0,1010.0,10300205.0,13857111.0
14,Bahamas,38084,844.0,36366.0,95087.0,2107.0,400516.0,366359.0
15,Bahrain,729549,1574.0,727915.0,408944.0,882.0,1783983.0,3476633.0
16,Bangladesh,2049377,29493.0,0,12207.0,176.0,167885689.0,361742554.0
17,Barbados,110578,648.0,108647.0,383921.0,2250.0,288023.0,384049.0
18,Belarus,994037,7118.0,985592.0,105381.0,755.0,9432800.0,22765402.0
19,Belgium,4861695,34376.0,4826798.0,416659.0,2946.0,11668278.0,31469387.0
20,Belize,71409,688.0,0,173243.0,1669.0,412190.0,511106.0
21,Benin,28036,163.0,27847.0,2193.0,13.0,12784726.0,4232541.0
22,Bermuda,18860,165.0,18685.0,304493.0,2664.0,61939.0,136759.0
23,Bhutan,62697,21.0,61564.0,79571.0,27.0,787941.0,2011426.0
24,Bolivia,1212131,22407.0,1177145.0,101073.0,1868.0,11992656.0,14690530.0
25,Bosnia and Herzegovina,403615,16388.0,379084.0,124215.0,5044.0,3249317.0,1924950.0
26,Botswana,330638,2801.0,327049.0,135443.0,1147.0,2441162.0,3171667.0
27,Brazil,38743918,711380.0,36249161.0,179908.0,3303.0,215353593.0,516237106.0
28,British Virgin Islands,7392,64.0,0,241600.0,2092.0,30596.0,41453.0
29,Brunei,343719,225.0,243601.0,771655.0,505.0,445431.0,1293100.0
30,Bulgaria,1339851,38748.0,1292944.0,195753.0,5661.0,6844597.0,4726614.0
31,Burkina Faso,22114,400.0,21596.0,1001.0,18.0,22102838.0,7893609.0
32,Burundi,54721,38.0,53569.0,4334.0,3.0,12624840.0,42252.0
33,Cambodia,139103,3056.0,136044.0,8102.0,178.0,17168639.0,47826645.0
34,Cameroon,125379,1974.0,123280.0,4492.0,71.0,27911548.0,4880572.0
35,Canada,4946090,59034.0,4881312.0,128843.0,1538.0,38388419.0,102877159.0
36,Cayman Islands,31472,37.0,8553.0,467797.0,550.0,67277.0,152148.0
37,Chad,7701,194.0,4874.0,442.0,11.0,17413580.0,9151765.0
