country,date,total_cases,date_date,year
China,2020-01-04,1,2020-01-04,2020
China,2020-01-05,1,2020-01-05,2020
China,2020-01-06,4,2020-01-06,2020
China,2020-01-07,4,2020-01-07,2020
China,2020-01-08,4,2020-01-08,2020
China,2020-01-09,4,2020-01-09,2020
China,2020-01-10,4,2020-01-10,2020
China,2020-01-11,4,2020-01-11,2020
China,2020-01-12,45,2020-01-12,2020
China,2020-01-13,45,2020-01-13,2020
China,2020-01-14,45,2020-01-14,2020
China,2020-01-15,45,2020-01-15,2020
China,2020-01-16,45,2020-01-16,2020
China,2020-01-17,49,2020-01-17,2020
China,2020-01-18,49,2020-01-18,2020
China,2020-01-19,125,2020-01-19,2020
China,2020-01-20,202,2020-01-20,2020
China,2020-01-21,295,2020-01-21,2020
China,2020-01-22,442,2020-01-22,2020
China,2020-01-23,574,2020-01-23,2020
China,2020-01-24,835,2020-01-24,2020
China,2020-01-25,1297,2020-01-25,2020
China,2020-01-26,1985,2020-01-26,2020
China,2020-01-27,2761,2020-01-27,2020
China,2020-01-28,4533,2020-01-28,2020
China,2020-01-29,5997,2020-01-29,2020
China,2020-01-30,7736,2020-01-30,2020
China,2020-01-31,9720,2020-01-31,2020
China,2020-02-01,11821,2020-02-01,2020
China,2020-02-02,14411,2020-02-02,2020
China,2020-02-03,17238,2020-02-03,2020
China,2020-02-04,20471,2020-02-04,2020
China,2020-02-05,24363,2020-02-05,2020
China,2020-02-06,28060,2020-02-06,2020
China,2020-02-07,31211,2020-02-07,2020
China,2020-02-08,34598,2020-02-08,2020
China,2020-02-09,37251,2020-02-09,2020
China,2020-02-10,40235,2020-02-10,2020
China,2020-02-11,42708,2020-02-11,2020
China,2020-02-12,44730,2020-02-12,2020
China,2020-02-13,59882,2020-02-13,2020
China,2020-02-14,63932,2020-02-14,2020
China,2020-02-15,66576,2020-02-15,2020
China,2020-02-16,68584,2020-02-16,2020
China,2020-02-17,70635,2020-02-17,2020
China,2020-02-18,72528,2020-02-18,2020
China,2020-02-19,74278,2020-02-19,2020
China,2020-02-20,74675,2020-02-20,2020
China,2020-02-21,75568,2020-02-21,2020
