column number,Country,TotalCases,TotalDeaths,TotalRecovered,Tot Cases/1M pop,Deaths/1M pop,Population,ISO3
1,USA,111820082,1219487.0,109814428.0,333985.0,3642.0,334805269.0,USA
2,India,45035393,533570.0,,32016.0,379.0,1406631776.0,IND
3,France,40138560,167642.0,39970918.0,612013.0,2556.0,65584518.0,FRA
4,Germany,38828995,183027.0,38240600.0,462891.0,2182.0,83883596.0,DEU
5,Brazil,38743918,711380.0,36249161.0,179908.0,3303.0,215353593.0,BRA
6,"Korea, Republic of",34571873,35934.0,34535939.0,673523.0,700.0,51329899.0,KOR
7,Japan,33803572,74694.0,,269169.0,595.0,125584838.0,JPN
8,Italy,26723249,196487.0,26361218.0,443445.0,3261.0,60262770.0,ITA
9,United Kingdom,24910387,232112.0,24678275.0,363666.0,3389.0,68497907.0,GBR
10,Russian Federation,24124215,402756.0,23545818.0,165454.0,2762.0,145805947.0,RUS
11,Türkiye,17232066,102174.0,,201399.0,1194.0,85561976.0,TUR
12,Spain,13914811,121760.0,13762417.0,297840.0,2606.0,46719142.0,ESP
13,Australia,11853144,24414.0,11820014.0,454687.0,937.0,26068792.0,AUS
14,Vietnam,11625195,43206.0,10640971.0,117481.0,437.0,98953541.0,VNM
15,Taiwan,10241523,19005.0,10222518.0,428720.0,796.0,23888595.0,TWN
16,Argentina,10128845,130841.0,9997258.0,220143.0,2844.0,46010234.0,ARG
17,Netherlands,8635786,22992.0,8612599.0,501747.0,1336.0,17211447.0,NLD
18,Mexico,7702809,334958.0,6899865.0,58549.0,2546.0,131562772.0,MEX
19,Iran,7627186,146811.0,,88665.0,1707.0,86022837.0,IRN
20,Indonesia,6829221,162063.0,6647104.0,24466.0,581.0,279134505.0,IDN
21,Poland,6661991,120598.0,,176524.0,3196.0,37739785.0,POL
22,Colombia,6400173,143200.0,6212152.0,124244.0,2780.0,51512762.0,COL
23,Greece,6101379,37869.0,,591412.0,3671.0,10316637.0,GRC
24,Austria,6081287,22542.0,6054934.0,670727.0,2486.0,9066710.0,AUT
25,Portugal,5643062,28126.0,5614809.0,556484.0,2774.0,10140570.0,PRT
26,Ukraine,5557995,112418.0,5445577.0,128681.0,2603.0,43192122.0,UKR
27,Chile,5384853,64497.0,5252450.0,279730.0,3350.0,19250195.0,CHL
28,Malaysia,5278406,37348.0,5233268.0,159079.0,1126.0,33181072.0,MYS
29,Canada,4946090,59034.0,4881312.0,128843.0,1538.0,38388419.0,CAN
30,Belgium,4861695,34376.0,4826798.0,416659.0,2946.0,11668278.0,BEL
31,Israel,4841772,12707.0,4798473.0,519169.0,1363.0,9326000.0,ISR
33,Thailand,4770149,34586.0,4692636.0,68069.0,494.0,70078203.0,THA
34,Czechia,4759041,43517.0,4715206.0,443246.0,4053.0,10736784.0,CZE
35,Peru,4572667,222161.0,4350506.0,135751.0,6595.0,33684208.0,PER
36,Switzerland,4453053,14452.0,4438309.0,507549.0,1647.0,8773637.0,CHE
37,Philippines,4140383,66864.0,4067381.0,36800.0,594.0,112508994.0,PHL
38,South Africa,4076463,102595.0,3912506.0,67095.0,1689.0,60756135.0,ZAF
39,Romania,3529735,68929.0,3460149.0,185470.0,3622.0,19031335.0,ROU
40,Denmark,3183756,8814.0,3174942.0,545636.0,1511.0,5834950.0,DNK
41,Singapore,3006155,2024.0,3004131.0,505785.0,341.0,5943546.0,SGP
42,Hong Kong,2937609,14924.0,2916005.0,386309.0,1963.0,7604299.0,HKG
43,Sweden,2754129,27407.0,2726492.0,269511.0,2682.0,10218971.0,SWE
44,New Zealand,2621111,5697.0,2613791.0,535117.0,1163.0,4898203.0,NZL
45,Serbia,2615054,18057.0,2596608.0,302213.0,2087.0,8653016.0,SRB
46,Iraq,2465545,25375.0,2439497.0,58474.0,602.0,42164965.0,IRQ
47,Hungary,2230232,49048.0,2152155.0,232164.0,5106.0,9606259.0,HUN
48,Bangladesh,2049377,29493.0,,12207.0,176.0,167885689.0,BGD
49,Slovakia,1877605,21224.0,1856381.0,343872.0,3887.0,5460193.0,SVK
50,Georgia,1861665,17132.0,,469082.0,4317.0,3968738.0,GEO
51,Jordan,1746997,14122.0,1731007.0,169597.0,1371.0,10300869.0,JOR
